t,RH
0,56.8667
0,56.79956
0,56.77607
0.016666667,56.75542
0.016666667,56.71758
0.033333333,56.70181
0.033333333,56.69723
0.033333333,56.68156
0.05,56.6427
0.05,56.5661
0.066666667,56.55888
0.066666667,56.68879
0.066666667,56.87006
0.083333333,56.84859
0.083333333,56.77108
0.083333333,56.58706
0.1,56.49551
0.1,56.49968
0.116666667,56.60985
0.116666667,56.81503
0.116666667,56.92143
0.133333333,56.98348
0.133333333,56.99742
0.133333333,56.96904
0.15,56.93232
0.15,56.86965
0.166666667,56.92509
0.166666667,56.90841
0.166666667,56.85063
0.183333333,56.83466
0.183333333,56.76986
0.2,56.69977
0.2,56.61727
0.2,56.58899
0.216666667,56.51707
0.216666667,56.52776
0.216666667,56.4775
0.233333333,56.45716
0.233333333,56.41809
0.25,56.3831
0.25,56.33804
0.25,56.33183
0.266666667,56.29714
0.266666667,56.25951
0.266666667,56.24709
0.283333333,56.2003
0.283333333,56.17375
0.3,56.12309
0.3,56.10406
0.3,56.07405
0.316666667,56.07121
0.316666667,56.03143
0.333333333,56.01332
0.333333333,55.96643
0.333333333,55.93103
0.35,55.92757
0.35,55.87885
0.35,55.87407
0.366666667,55.82666
0.366666667,55.76939
0.383333333,55.76277
0.383333333,55.72422
0.383333333,55.70957
0.4,55.69035
0.4,55.61476
0.4,55.56543
0.416666667,55.55241
0.416666667,55.49839
0.433333333,55.48516
0.433333333,55.45292
0.433333333,55.40714
0.45,55.38171
0.45,55.33156
0.45,55.31467
0.466666667,55.26727
0.466666667,55.23573
0.483333333,55.20766
0.483333333,55.19901
0.483333333,55.15252
0.5,55.10593
0.5,55.07267
0.516666667,55.05354
0.516666667,55.00838
0.516666667,54.96952
0.533333333,54.94673
0.533333333,54.92292
0.533333333,54.88335
0.55,54.8449
0.55,54.8337
0.566666667,54.78793
0.566666667,54.76036
0.566666667,54.73055
0.583333333,54.68346
0.583333333,54.63697
0.583333333,54.58743
0.6,54.55141
0.6,54.53036
0.616666667,54.52242
0.616666667,54.47359
0.616666667,54.43769
0.633333333,54.39974
0.633333333,54.39059
0.65,54.36465
0.65,54.3145
0.65,54.303
0.666666667,54.2792
0.666666667,54.19649
0.666666667,54.19751
0.683333333,54.15713
0.683333333,54.14115
0.7,54.15874
0.7,54.09853
0.7,54.06862
0.716666667,54.04837
