t,CHN
0.004722222,68.8912
0.021944444,47.059
0.039166667,74.4746
0.056666667,66.8305
0.073888889,50.6278
0.091111111,66.0743
0.108333333,55.8364
0.125833333,47.355
0.143055556,36.8422
0.160277778,59.3222
0.1775,54.9068
0.195,100.428
0.212222222,52.1841
0.229444444,71.9312
0.246666667,67.1949
0.263888889,78.4048
0.281388889,74.0645
0.298611111,100.225
0.315833333,81.9067
0.333055556,68.1456
0.350555556,107.266
0.367777778,91.0916
0.385,78.1456
0.402222222,101.172
0.419722222,64.1244
0.436944444,84.7733
0.454166667,116.759
0.471666667,82.7241
0.488888889,92.4163
0.506111111,102.104
0.523333333,101.397
0.540833333,98.8515
0.558055556,88.1073
0.575277778,98.5634
0.5925,105.779
0.61,72.5758
0.627222222,100.016
0.644444444,88.447
0.661944444,124.335
0.679166667,109.511
0.696666667,94.7784
0.713888889,128.182
0.731111111,102.871
0.748333333,98.832
0.765833333,97.8371
0.783055556,111.505
0.800277778,82.436
0.8175,92.1108
0.835,110.38
0.852222222,77.3509
0.869444444,104.916
0.886666667,84.9321
0.904166667,84.94
0.921388889,107.726
0.938611111,111.305
0.956111111,91.4526
0.973333333,75.0031
0.990555556,118.165
1.007777778,93.0383
1.025,87.915
1.0425,102.357
1.059722222,99.469
1.076944444,80.3138
1.094166667,129.902
1.112222222,83.3153
1.129722222,79.5804
1.154722222,50.3194
1.172222222,73.9173
1.189444444,46.9362
1.206666667,89.1055
1.224166667,63.5393
1.241388889,80.6182
1.258611111,53.9246
1.275833333,49.2781
1.293055556,35.3648
1.310277778,51.0609
1.327777778,47.7625
1.345,50.5332
1.362222222,72.0107
1.379444444,81.5912
1.396944444,70.3575
1.414166667,80.9585
1.431388889,77.3849
1.448611111,92.691
1.465833333,85.2166
1.483333333,72.3795
1.500555556,97.6657
1.518055556,79.2821
1.535277778,96.6081
1.5525,79.6108
1.569722222,89.4225
1.586944444,78.4904
1.604444444,82.1605
1.621666667,74.8366
1.638888889,86.8933
1.656111111,78.7287
1.673333333,69.6991
1.690833333,90.7886
1.714722222,59.9772
1.732222222,72.061
1.749444444,64.361
1.766944444,45.109
1.784166667,40.5793
1.801666667,58.474
1.826388889,64.5019
1.843611111,58.1858
1.860833333,59.8617
1.878055556,73.2652
1.895277778,81.217
1.912777778,79.7587
1.93,68.056
1.948055556,80.4537
1.965277778,92.6554
1.9825,41.7408
1.999722222,72.7205
2.017222222,80.7075
2.034444444,65.3547
2.051666667,89.4547
2.068888889,52.2192
2.086111111,77.4798
2.103333333,68.5981
2.120833333,82.9918
2.138055556,67.2744
2.155277778,83.4977
2.1725,66.7408
2.19,75.6644
2.207222222,78.0941
2.224444444,61.5345
2.241666667,45.0972
2.259166667,68.2539
2.276388889,75.0906
2.293611111,54.4972
2.311111111,55.5931
2.328333333,63.9424
2.345555556,38.1704
2.362777778,51.769
2.38,47.659
2.3975,52.7012
2.414722222,60.5457
2.431944444,64.0833
2.449166667,66.2762
2.466388889,78.1865
2.483888889,83.4405
2.501111111,66.1158
2.518333333,70.2555
2.535555556,61.7506
2.552777778,64.66
2.570277778,73.2252
2.5875,57.206
2.604722222,54.7735
2.621944444,85.2771
2.639444444,66.293
2.656666667,57.6155
2.673888889,65.7585
2.691111111,57.6496
2.708333333,63.1908
2.725555556,62.7318
2.743055556,58.0593
2.760277778,48.7812
2.7775,67.4714
2.794722222,52.5774
2.811944444,50.7069
2.829444444,49.4384
2.846666667,56.0318
2.863888889,47.2249
2.881388889,54.6439
2.898611111,53.9925
2.915833333,79.0665
2.933055556,52.531
2.950277778,39.942
2.967777778,50.4948
2.985,57.3428
3.002222222,67.8425
3.019444444,71.5047
3.036666667,72.5079
3.054166667,54.637
3.071388889,63.5909
3.088611111,57.5175
3.105833333,56.7923
3.123055556,38.3726
3.140277778,60.199
3.157777778,53.8926
3.175,63.2409
3.192222222,53.1718
3.209444444,61.0117
3.226666667,61.3053
3.244166667,62.8749
3.261388889,50.6685
3.278611111,43.6957
3.295833333,39.9871
3.313055556,56.4095
3.330277778,35.0053
3.347777778,43.8917
3.365,67.4578
3.382222222,44.8365
3.399444444,41.2516
3.416944444,36.9297
3.434166667,52.7597
3.451388889,47.0729
3.468611111,53.791
3.485833333,46.7235
3.503055556,45.0521
3.520277778,57.9591
3.537777778,46.9748
3.555,45.549
3.572222222,53.3926
3.589444444,69.7675
3.606666667,71.6328
3.624166667,39.2454
3.641388889,62.0545
3.658611111,52.7359
3.675833333,58.5171
3.693333333,40.7873
